d3mIndex,LRS-name,ID-type,Right-Ascension,Declination,Scale_Factor,Blue_base_1,Blue_base_2,Red_base_1,Red_base_2,blue-band-flux_1,blue-band-flux_2,blue-band-flux_3,blue-band-flux_4,blue-band-flux_5,blue-band-flux_6,blue-band-flux_7,blue-band-flux_8,blue-band-flux_9,blue-band-flux_10,blue-band-flux_11,blue-band-flux_12,blue-band-flux_13,blue-band-flux_14,blue-band-flux_15,blue-band-flux_16,blue-band-flux_17,blue-band-flux_18,blue-band-flux_19,blue-band-flux_20,blue-band-flux_21,blue-band-flux_22,blue-band-flux_23,blue-band-flux_24,blue-band-flux_25,blue-band-flux_26,blue-band-flux_27,blue-band-flux_28,blue-band-flux_29,blue-band-flux_30,blue-band-flux_31,blue-band-flux_32,blue-band-flux_33,blue-band-flux_34,blue-band-flux_35,blue-band-flux_36,blue-band-flux_37,blue-band-flux_38,blue-band-flux_39,blue-band-flux_40,blue-band-flux_41,blue-band-flux_42,blue-band-flux_43,blue-band-flux_44,red-band-flux_1,red-band-flux_2,red-band-flux_3,red-band-flux_4,red-band-flux_5,red-band-flux_6,red-band-flux_7,red-band-flux_8,red-band-flux_9,red-band-flux_10,red-band-flux_11,red-band-flux_12,red-band-flux_13,red-band-flux_14,red-band-flux_15,red-band-flux_16,red-band-flux_17,red-band-flux_18,red-band-flux_19,red-band-flux_20,red-band-flux_21,red-band-flux_22,red-band-flux_23,red-band-flux_24,red-band-flux_25,red-band-flux_26,red-band-flux_27,red-band-flux_28,red-band-flux_29,red-band-flux_30,red-band-flux_31,red-band-flux_32,red-band-flux_33,red-band-flux_34,red-band-flux_35,red-band-flux_36,red-band-flux_37,red-band-flux_38,red-band-flux_39,red-band-flux_40,red-band-flux_41,red-band-flux_42,red-band-flux_43,red-band-flux_44,red-band-flux_45,red-band-flux_46,red-band-flux_47,red-band-flux_48,red-band-flux_49
10,23151+5912,0,23.252,59.207,3.66e-16,800.0,864.0,389.0,469.0,18523.861,17810.996,16912.605,13962.619,10159.351,7451.574,4685.3477,3599.6418,2211.3796,1299.263,903.63477,792.4962,74.16866,271.7643,681.2185,753.8039,578.2862,1133.0851,1201.727,1611.3334,1456.1024,2406.4143,2900.827,3437.6257,3294.5962,3536.904,4043.5095,3965.0994,4401.1357,5172.075,5257.1284,6112.834,6310.895,6845.8735,7394.989,7391.362,8095.8457,7836.043,7858.686,7812.7534,7684.122,7599.8857,7556.0103,7502.0605,2881.166,2898.2407,3643.7612,4530.657,5657.7646,6970.604,7811.5,8029.1426,7708.2495,7506.4795,7351.1987,7022.51,6155.2617,5980.047,5423.6196,5335.289,4865.738,4444.665,4203.194,3802.4055,3639.7183,3872.4849,3607.0083,3577.61,3453.4382,3393.8643,3449.3196,3268.7817,3402.9922,3404.091,3679.586,3660.578,3911.9316,3598.4517,3783.2922,4073.065,4094.556,4069.6753,3847.1196,4262.0776,4392.612,4032.9497,4175.636,4167.0435,4392.488,4402.096,4389.534,4332.6113,3952.9287
11,13203-5536,0,13.339,-55.616,4.98e-16,562.0,529.0,299.0,373.0,9952.232,10411.849,10329.342,10888.654,10884.724,10804.507,11028.178,11088.732,10962.707,10404.862,10201.365,9513.252,8955.37,8659.142,8073.077,7844.885,7887.734,7897.719,7627.258,7515.194,7523.9805,7265.2295,7249.3594,7100.892,7113.1694,6840.3096,6364.448,6440.07,6080.3613,6008.125,5910.0693,5577.331,5259.842,5218.0933,4703.4663,4685.1753,4629.331,4365.794,4105.773,4182.508,3955.3325,3757.4883,3845.945,3750.177,7689.774,7108.544,6756.2183,6135.274,5668.1206,5014.4717,4601.4307,4222.4785,3852.969,3763.9502,3579.936,3344.3386,3267.1904,3161.9214,3042.6096,3066.4868,3017.6475,2925.4258,2932.9722,2841.9841,2828.4666,2719.932,2735.801,2642.5703,2566.9636,2600.5037,2468.6184,2323.847,2265.926,2118.8472,2129.0198,2115.7427,2001.5726,1921.4469,1799.096,1738.9495,1777.3824,1699.6655,1675.939,1585.343,1562.8165,1505.1022,1470.8678,1447.2068,1313.2599,1340.078,1382.1617,1220.088,1185.9235
12,16077-5830,0,16.128,-58.509,1.67e-16,1624.0,1795.0,1073.0,1157.0,6772.867,7232.3325,7144.0957,7862.7017,8939.127,8823.693,9271.185,9725.016,9890.007,9843.699,10280.247,10374.16,9655.154,9514.055,9371.763,9046.914,9181.143,9272.895,9179.585,8757.377,8884.289,8653.529,8208.937,7866.9395,7464.948,7051.7344,6672.325,6950.8438,6525.2227,6009.5815,5825.4185,5347.3604,5222.039,4277.512,4862.6655,4441.0005,3562.839,3839.1387,4086.6929,3801.4573,3979.0178,3640.0435,3492.4546,3429.937,8572.945,8111.843,7109.283,6245.6606,5709.8267,4801.359,4333.23,3483.6995,3609.814,3374.5278,3175.5718,3027.9517,2882.8845,3039.2952,2617.9084,2965.772,2922.1936,3345.182,3136.5823,2850.4722,3194.7695,3549.1047,3065.4744,2864.541,2776.2024,2903.019,2861.0107,2763.9954,2619.4768,2386.1785,2789.5298,2256.097,2207.9739,2236.1658,2633.346,2037.4559,1726.754,1875.092,1929.6423,1746.5679,2031.2871,1844.4927,1508.8755,1729.8538,1919.5779,1288.83,1512.3522,1709.6224,1482.9042
13,18142-3646,4,18.237,-36.78,1.78e-15,344.0,356.0,100.0,119.0,25728.62,23973.928,21800.744,19400.998,18022.217,17003.316,15669.88,14589.695,13237.624,12650.612,11847.69,10972.806,10599.078,9860.162,9326.511,8998.124,8392.516,8165.4395,7914.3794,7431.414,7012.43,6806.7065,6395.733,6416.603,5893.683,5509.3823,5354.3345,5137.9814,4993.6064,4739.9434,4550.2617,4496.5327,4253.5464,4058.5457,3932.8562,3815.1682,3660.1643,3763.7341,3320.8452,3344.4521,3117.4893,3047.8044,2951.466,3068.3845,6978.099,6454.023,5623.449,5163.454,4516.9077,3897.0596,3557.1445,3313.2295,2917.403,2628.2344,2400.4045,2183.264,2030.1237,1916.9926,1755.9011,1656.1415,1473.7654,1387.3727,1258.3469,1190.6487,1160.286,1073.9597,1032.9647,933.3393,897.70355,822.0959,810.4766,753.5533,752.6208,701.05176,676.1501,587.2828,578.39606,529.5338,496.675,527.8012,588.25885,406.14938,437.30185,495.11893,510.2931,416.18262,338.07358,401.25238,363.14273,325.04007,278.947,286.1738,290.74115
14,12506-6004,4,12.845,-60.079,4.09e-16,1247.0,1070.0,592.0,655.0,11403.823,11966.332,11706.23,10352.992,9943.101,9747.891,9571.613,9126.065,9211.975,9044.938,9364.51,9958.616,10291.635,10432.898,10366.1,10477.331,10498.776,10231.962,9725.828,9404.527,9372.742,8926.277,8615.708,8405.699,8424.034,8226.177,7579.6567,7055.448,6561.115,6329.1196,6235.754,5589.0566,5072.8345,5224.0747,4764.8906,4615.6304,4640.3545,4510.071,3869.9648,3731.4702,3681.316,3423.14,3338.9504,3324.0696,9894.1045,9200.784,8117.3916,6813.8506,5765.966,4409.554,4215.5444,3766.017,3267.6038,2820.9014,2731.7852,2419.7625,2330.733,2194.1626,2083.459,2031.2482,1821.3726,1907.892,2250.0198,2085.098,1906.6088,2048.9785,2074.4597,1984.4111,1876.7126,1837.0092,1642.3481,1567.3405,1567.123,1624.022,1279.8981,1566.581,1551.4822,1499.6935,1639.6047,1197.6826,1249.2595,1341.635,1071.0491,1251.817,1204.2091,1011.1519,960.85065,1119.9188,926.89856,947.3253,872.60095,921.59875,785.7202
15,17488-2800,4,17.814,-28.011,9.86e-16,388.0,426.0,241.0,258.0,7231.1772,6893.5933,6460.091,6360.403,6391.8237,6631.3784,6961.496,7697.0435,8415.043,9277.657,10487.589,11597.536,12318.305,12945.844,12961.229,12645.543,12096.084,11552.042,10912.064,10601.831,10188.905,9473.283,9187.405,8639.371,8139.996,7847.3877,7434.517,7212.197,6706.0977,6333.791,5852.0317,5755.418,5269.6187,4791.934,4433.175,4312.263,4110.276,4089.3772,3886.0496,3797.5942,3630.7651,3582.861,3444.421,3268.1475,9846.333,8864.514,7607.0405,6715.811,5636.7617,4830.707,4343.5923,3953.7913,3522.113,3314.7754,3072.3147,2865.0017,2734.7275,2577.4373,2487.7249,2592.619,2502.925,2630.8096,2549.2407,2647.4111,2638.8308,2555.9329,2436.5547,2384.751,2365.3867,2189.2698,2159.1057,2068.136,2012.307,1986.2134,1820.9337,1747.5516,1662.0121,1608.9095,1553.1086,1427.0409,1363.1398,1351.9462,1365.0808,1336.3267,1221.0887,1196.396,1197.3822,1168.642,1145.3103,1049.008,1051.3585,991.54913,826.33606
16,16498-4143,3,16.831,-41.726,1.91e-16,1124.0,1208.0,816.0,889.0,14489.247,14077.149,14223.235,14061.7,12687.468,11301.845,10323.807,8786.085,7200.9546,5277.0845,4107.7593,4090.6858,4193.1304,3554.208,3146.0918,4237.1904,4213.7583,3835.2024,4021.325,4443.1577,4488.5864,4935.022,4751.3726,4657.762,5066.6323,5662.103,5810.7896,5123.1655,5581.2217,6289.709,5806.727,6520.163,5605.1396,5686.8623,6176.128,6110.584,6028.6895,5995.9106,5928.7773,5891.12,5427.945,5680.0044,5337.97,5180.892,4781.8945,5021.969,5535.4966,5849.4688,5895.1367,5950.723,6017.856,5708.64,5564.803,5244.28,4881.2695,5189.3535,4186.531,4301.603,4334.8936,4459.887,3913.896,4002.9744,3854.779,4037.2292,3740.1763,3493.8962,3565.163,3291.1292,3274.0823,3101.584,3030.5874,2920.34,3194.7363,3081.27,3077.485,2964.0684,2402.2317,2855.147,2880.9158,2754.4968,2665.7424,2490.2651,2503.0242,2686.0146,2420.5781,2420.2993,2279.285,2223.3943,2413.0193,2355.5251,2343.8728,2045.8207,1778.8793
17,17199-3512,0,17.333,-35.215,5.02e-16,719.0,765.0,347.0,354.0,20030.52,18781.344,19367.148,17793.89,15894.332,14383.848,13402.919,11795.259,10356.217,9280.305,7891.0405,6789.2573,6798.399,6861.602,5915.516,6104.124,5562.2466,5839.515,6395.6104,6904.1797,6766.5483,6780.2246,6856.5977,6913.5366,7024.5264,6865.372,6671.6543,6741.6284,6515.522,6531.4937,6396.19,6479.1895,5827.368,5506.2354,4990.5996,4738.652,4834.6807,4509.274,4696.0986,4234.553,4360.885,3962.037,3749.0684,3670.109,6899.743,6966.263,7017.671,6723.289,6078.7944,5451.6025,4843.873,4361.509,3742.9934,3617.258,3208.4045,3233.9749,3095.2954,2383.8855,2763.9263,2387.5266,2145.132,2004.3232,1753.2946,1943.1711,1860.7319,1966.3284,1514.3202,1546.4418,1505.0842,1262.7319,1184.6404,1244.8739,1285.6595,941.7417,1077.63,1351.843,1124.6432,919.0592,998.7663,944.477,1160.3499,1224.9359,839.9794,941.3121,858.9387,1035.9208,828.19794,897.12054,881.7556,702.13574,807.8063,1017.21985,684.1553
18,18320-0352,3,18.533,-3.878,2.81e-16,824.0,866.0,792.0,857.0,13536.463,14009.04,13854.82,13584.444,12771.3545,12251.836,11388.352,10835.25,9606.418,9505.907,8407.071,8068.099,7882.032,6913.2085,6928.987,7463.0645,7194.5083,6854.1084,6949.4497,6931.6685,7069.844,6845.6934,6723.988,6901.9497,6407.2266,6799.251,6462.0215,6453.507,6440.414,6748.392,6071.794,5710.15,5527.3906,6014.2803,5194.003,4734.545,4990.6,4431.7813,5129.691,4512.7896,4411.1206,4078.6003,4163.465,3890.583,7548.771,6317.947,6993.718,6368.5283,5714.38,5431.8267,5361.8584,4732.3984,4098.4146,4079.0925,3821.3237,3477.9917,3723.318,3315.869,2943.626,3013.2651,3011.0862,2648.134,2774.4514,2463.549,2204.6594,2285.2068,2422.3513,2012.1925,2040.8427,1765.2759,1751.1681,1509.2843,1848.3904,1667.706,1499.2738,1213.1395,1806.1199,1572.0063,1472.4507,1229.2002,1735.108,1571.3928,1343.4825,1441.2344,1698.0027,1300.4352,1136.7972,1395.1389,1303.3856,1353.8298,1344.6616,1434.8818,1153.6017
19,19029+0808,3,19.049,8.14,3.52e-16,738.0,722.0,447.0,421.0,13989.657,14706.618,14883.845,14307.7,14329.089,13388.286,12474.782,11813.457,10564.214,10024.949,9255.974,8374.549,8084.2373,7586.705,7349.388,7173.104,6734.9844,7077.5254,7134.137,7158.617,7096.3516,7434.052,7575.7773,7209.9053,7035.1787,6560.0684,6615.0356,6769.5894,6570.7524,6415.2813,6107.2075,5429.6797,5385.0327,5120.319,4987.3193,5074.3804,4523.7344,4466.2217,4487.4155,4359.2197,4398.077,4192.773,3940.8833,4337.94,6696.361,7055.891,6755.1836,6348.419,5790.624,5423.945,4978.525,4370.839,4074.7505,3923.2036,3509.806,3517.2388,3155.2002,2913.6147,2633.4607,2735.5896,2585.5127,2269.97,2195.3591,2202.6553,2065.3708,1907.1914,1651.0151,1720.9073,1787.5758,1704.8469,1734.5492,1638.9496,1569.0408,1508.7609,1279.8098,1296.6154,1315.0184,1296.4684,1281.1235,1179.0304,1372.4905,1263.9576,1166.6619,1247.6597,1036.3031,935.77545,1190.2355,1084.8766,987.5435,1002.64624,1232.9886,1052.1111,850.3463
20,18267-0606,4,18.446,-6.111,3.77e-16,974.0,973.0,412.0,535.0,10423.446,10483.687,10764.311,10869.108,10748.703,10498.234,10017.745,9597.47,8995.347,8449.825,8039.1826,8076.5356,7624.9478,7272.1104,7268.517,6830.1743,6975.9126,6924.147,6751.9517,6420.79,6532.8066,6467.793,6090.867,6329.334,6270.34,6024.6826,5968.097,5928.372,5565.8965,5541.8267,5736.9375,5520.181,5270.908,5597.286,5364.8735,4878.3555,4883.187,5059.029,4809.755,4860.3496,4810.9883,4797.7554,4562.9326,4576.194,6868.7905,6149.9507,5862.408,5786.966,5440.693,5401.6357,5073.6597,4948.109,4682.954,4378.148,4176.9937,4162.5825,3972.4165,3911.18,3575.4285,3603.435,3497.822,3368.18,3460.1787,3237.908,3016.8887,2970.5366,2957.9485,3036.9282,2842.574,2920.4272,2697.2444,2701.7085,2724.2715,2798.6514,2453.9697,2524.7979,2577.5933,2311.2795,2442.409,2319.4595,2375.9758,2163.9607,2203.6672,2286.7512,2078.42,1876.1327,1973.7355,2159.273,1905.2649,1736.7821,1761.0046,1697.3335,1444.6067
