d3mIndex,class
432,FOLIAGE
433,FOLIAGE
434,FOLIAGE
435,FOLIAGE
436,FOLIAGE
437,FOLIAGE
438,FOLIAGE
439,FOLIAGE
440,FOLIAGE
441,FOLIAGE
442,FOLIAGE
443,FOLIAGE
444,FOLIAGE
445,FOLIAGE
446,FOLIAGE
447,FOLIAGE
448,FOLIAGE
449,FOLIAGE
450,FOLIAGE
451,FOLIAGE
452,FOLIAGE
453,FOLIAGE
454,FOLIAGE
455,FOLIAGE
456,FOLIAGE
457,FOLIAGE
458,FOLIAGE
459,FOLIAGE
460,FOLIAGE
461,FOLIAGE
462,FOLIAGE
463,FOLIAGE
464,FOLIAGE
465,FOLIAGE
466,FOLIAGE
467,FOLIAGE
468,FOLIAGE
469,FOLIAGE
470,FOLIAGE
471,FOLIAGE
472,FOLIAGE
473,FOLIAGE
474,FOLIAGE
475,FOLIAGE
476,FOLIAGE
477,FOLIAGE
478,FOLIAGE
479,FOLIAGE
480,FOLIAGE
481,FOLIAGE
482,FOLIAGE
483,FOLIAGE
484,FOLIAGE
485,FOLIAGE
486,FOLIAGE
487,FOLIAGE
488,FOLIAGE
489,FOLIAGE
490,FOLIAGE
491,FOLIAGE
492,FOLIAGE
493,FOLIAGE
494,SKY
495,SKY
496,SKY
497,SKY
498,SKY
499,SKY
500,SKY
501,SKY
502,SKY
503,SKY
504,SKY
505,SKY
506,SKY
507,SKY
508,SKY
509,SKY
510,SKY
511,SKY
512,SKY
513,SKY
514,SKY
515,SKY
516,SKY
517,SKY
518,SKY
519,SKY
520,SKY
521,SKY
522,SKY
523,SKY
524,SKY
525,SKY
526,SKY
527,SKY
528,SKY
529,SKY
530,SKY
531,SKY
532,SKY
533,SKY
534,SKY
535,SKY
536,SKY
537,SKY
538,SKY
539,SKY
540,SKY
541,SKY
542,SKY
543,SKY
544,SKY
545,SKY
546,SKY
547,SKY
548,SKY
549,SKY
550,SKY
551,SKY
552,SKY
553,SKY
554,SKY
555,GRASS
556,GRASS
557,GRASS
558,GRASS
559,GRASS
560,GRASS
561,GRASS
562,GRASS
563,GRASS
564,GRASS
565,GRASS
566,GRASS
567,GRASS
568,GRASS
569,GRASS
570,GRASS
571,GRASS
572,GRASS
573,GRASS
574,GRASS
575,GRASS
576,GRASS
577,GRASS
578,GRASS
579,GRASS
580,GRASS
581,GRASS
582,GRASS
583,GRASS
584,GRASS
585,GRASS
586,GRASS
587,GRASS
588,GRASS
589,GRASS
590,GRASS
591,GRASS
592,GRASS
593,GRASS
594,GRASS
595,GRASS
596,GRASS
597,GRASS
598,GRASS
599,GRASS
600,GRASS
601,GRASS
602,GRASS
603,GRASS
604,GRASS
605,GRASS
606,GRASS
607,GRASS
608,GRASS
609,GRASS
610,GRASS
611,WINDOW
612,WINDOW
613,WINDOW
614,WINDOW
615,WINDOW
616,WINDOW
617,WINDOW
618,WINDOW
619,WINDOW
620,WINDOW
621,WINDOW
622,WINDOW
623,WINDOW
624,WINDOW
625,WINDOW
626,WINDOW
627,WINDOW
628,WINDOW
629,WINDOW
630,WINDOW
631,WINDOW
632,WINDOW
633,WINDOW
634,WINDOW
635,WINDOW
636,WINDOW
637,WINDOW
638,WINDOW
639,WINDOW
640,WINDOW
641,WINDOW
642,WINDOW
643,WINDOW
644,WINDOW
645,WINDOW
646,WINDOW
647,WINDOW
648,WINDOW
649,WINDOW
650,WINDOW
651,WINDOW
652,WINDOW
653,WINDOW
654,WINDOW
655,WINDOW
656,WINDOW
657,WINDOW
658,WINDOW
659,WINDOW
660,WINDOW
661,WINDOW
662,WINDOW
663,WINDOW
664,WINDOW
665,WINDOW
666,WINDOW
667,WINDOW
668,WINDOW
669,WINDOW
670,WINDOW
671,WINDOW
672,CEMENT
673,CEMENT
674,CEMENT
675,CEMENT
676,CEMENT
677,CEMENT
678,CEMENT
679,CEMENT
680,CEMENT
681,CEMENT
682,CEMENT
683,CEMENT
684,CEMENT
685,CEMENT
686,CEMENT
687,CEMENT
688,CEMENT
689,CEMENT
690,CEMENT
691,CEMENT
692,CEMENT
693,CEMENT
694,CEMENT
695,CEMENT
696,CEMENT
697,CEMENT
698,CEMENT
699,CEMENT
700,CEMENT
701,CEMENT
702,CEMENT
703,FOLIAGE
704,FOLIAGE
705,FOLIAGE
706,SKY
707,SKY
708,SKY
709,SKY
710,SKY
711,SKY
712,SKY
713,SKY
714,SKY
715,SKY
716,SKY
717,SKY
718,SKY
719,SKY
720,SKY
721,SKY
722,SKY
723,SKY
724,SKY
725,SKY
726,SKY
727,SKY
728,SKY
729,SKY
730,SKY
731,SKY
732,SKY
733,SKY
734,SKY
735,SKY
736,SKY
737,SKY
738,SKY
739,SKY
740,SKY
741,SKY
742,SKY
743,SKY
744,SKY
745,SKY
746,SKY
747,SKY
748,SKY
749,SKY
750,SKY
751,SKY
752,SKY
753,SKY
754,SKY
755,SKY
756,SKY
757,SKY
758,SKY
759,SKY
760,SKY
761,SKY
762,SKY
763,GRASS
764,GRASS
765,GRASS
766,GRASS
767,GRASS
768,GRASS
769,GRASS
770,GRASS
771,GRASS
772,GRASS
773,GRASS
774,GRASS
775,GRASS
776,GRASS
777,GRASS
778,GRASS
779,GRASS
780,GRASS
781,GRASS
782,GRASS
783,GRASS
784,GRASS
785,GRASS
786,GRASS
787,GRASS
788,GRASS
789,GRASS
790,GRASS
791,GRASS
792,GRASS
793,GRASS
794,GRASS
795,GRASS
796,GRASS
797,GRASS
798,GRASS
799,GRASS
800,GRASS
801,GRASS
802,GRASS
803,GRASS
804,GRASS
805,GRASS
806,GRASS
807,GRASS
808,GRASS
809,GRASS
810,GRASS
811,GRASS
812,GRASS
813,PATH
814,PATH
815,PATH
816,PATH
817,PATH
818,PATH
819,PATH
820,PATH
821,PATH
822,PATH
823,PATH
824,PATH
825,PATH
826,PATH
827,PATH
828,PATH
829,PATH
830,PATH
831,PATH
832,PATH
833,PATH
834,PATH
835,PATH
836,PATH
837,PATH
838,PATH
839,PATH
840,PATH
841,PATH
842,PATH
843,PATH
844,PATH
845,PATH
846,PATH
847,PATH
848,PATH
849,PATH
850,PATH
851,PATH
852,PATH
853,PATH
854,PATH
855,PATH
856,PATH
857,PATH
858,PATH
859,PATH
860,PATH
861,PATH
862,PATH
863,PATH
864,PATH
865,PATH
866,PATH
867,PATH
868,PATH
869,PATH
870,PATH
871,PATH
872,PATH
873,PATH
874,PATH
875,PATH
876,PATH
877,PATH
878,PATH
879,PATH
880,PATH
881,PATH
882,PATH
883,PATH
884,PATH
885,PATH
886,PATH
887,PATH
888,PATH
889,PATH
890,PATH
891,PATH
892,PATH
893,PATH
894,PATH
895,PATH
896,PATH
897,PATH
898,PATH
899,PATH
900,PATH
901,PATH
902,PATH
903,PATH
904,PATH
905,PATH
906,PATH
907,PATH
908,PATH
909,PATH
910,PATH
911,PATH
912,PATH
913,PATH
914,PATH
915,PATH
916,PATH
917,PATH
918,PATH
919,PATH
920,PATH
921,PATH
922,PATH
923,PATH
924,PATH
925,PATH
926,PATH
927,PATH
928,PATH
929,PATH
930,PATH
931,PATH
932,PATH
933,PATH
934,PATH
935,PATH
936,PATH
937,PATH
938,PATH
939,PATH
940,PATH
941,PATH
942,PATH
943,PATH
944,PATH
945,PATH
946,PATH
947,PATH
948,PATH
949,PATH
950,PATH
951,PATH
952,WINDOW
953,WINDOW
954,WINDOW
955,WINDOW
956,WINDOW
957,WINDOW
958,WINDOW
959,WINDOW
960,WINDOW
961,WINDOW
962,WINDOW
963,WINDOW
964,WINDOW
965,WINDOW
966,WINDOW
967,WINDOW
968,WINDOW
969,WINDOW
970,WINDOW
971,WINDOW
972,WINDOW
973,WINDOW
974,WINDOW
975,WINDOW
976,WINDOW
977,WINDOW
978,WINDOW
979,WINDOW
980,WINDOW
981,WINDOW
982,WINDOW
983,WINDOW
984,WINDOW
985,WINDOW
986,WINDOW
987,WINDOW
988,WINDOW
989,WINDOW
990,WINDOW
991,WINDOW
992,WINDOW
993,WINDOW
994,WINDOW
995,WINDOW
996,WINDOW
997,WINDOW
998,WINDOW
999,WINDOW
1000,WINDOW
1001,WINDOW
1002,WINDOW
1003,WINDOW
1004,WINDOW
1005,WINDOW
1006,WINDOW
1007,WINDOW
1008,WINDOW
1009,WINDOW
1010,WINDOW
1011,WINDOW
1012,WINDOW
1013,WINDOW
1014,CEMENT
1015,CEMENT
1016,CEMENT
1017,CEMENT
1018,CEMENT
1019,CEMENT
1020,CEMENT
1021,CEMENT
1022,CEMENT
1023,CEMENT
1024,CEMENT
1025,CEMENT
1026,CEMENT
1027,CEMENT
1028,CEMENT
1029,CEMENT
1030,CEMENT
1031,CEMENT
1032,CEMENT
1033,CEMENT
1034,CEMENT
1035,CEMENT
1036,CEMENT
1037,CEMENT
1038,CEMENT
1039,CEMENT
1040,CEMENT
1041,CEMENT
1042,CEMENT
1043,CEMENT
1044,CEMENT
1045,CEMENT
1046,CEMENT
1047,CEMENT
1048,CEMENT
1049,CEMENT
1050,CEMENT
1051,CEMENT
1052,CEMENT
1053,CEMENT
1054,CEMENT
1055,CEMENT
1056,CEMENT
1057,CEMENT
1058,CEMENT
1059,CEMENT
1060,CEMENT
1061,CEMENT
1062,CEMENT
1063,CEMENT
1064,CEMENT
1065,CEMENT
1066,CEMENT
1067,CEMENT
1068,CEMENT
1069,CEMENT
1070,CEMENT
1071,BRICKFACE
1072,BRICKFACE
1073,BRICKFACE
1074,BRICKFACE
1075,BRICKFACE
1076,BRICKFACE
1077,BRICKFACE
1078,BRICKFACE
1079,BRICKFACE
1080,BRICKFACE
1081,BRICKFACE
1082,BRICKFACE
1083,BRICKFACE
1084,BRICKFACE
1085,BRICKFACE
1086,BRICKFACE
1087,BRICKFACE
1088,BRICKFACE
1089,BRICKFACE
1090,BRICKFACE
1091,BRICKFACE
1092,BRICKFACE
1093,BRICKFACE
1094,BRICKFACE
1095,BRICKFACE
1096,BRICKFACE
1097,BRICKFACE
1098,BRICKFACE
1099,BRICKFACE
1100,BRICKFACE
1101,BRICKFACE
1102,BRICKFACE
1103,BRICKFACE
1104,BRICKFACE
1105,BRICKFACE
1106,BRICKFACE
1107,BRICKFACE
1108,BRICKFACE
1109,BRICKFACE
1110,BRICKFACE
1111,BRICKFACE
1112,BRICKFACE
1113,BRICKFACE
1114,BRICKFACE
1115,BRICKFACE
1116,BRICKFACE
1117,BRICKFACE
1118,BRICKFACE
1119,BRICKFACE
1120,BRICKFACE
1121,BRICKFACE
1122,BRICKFACE
1123,BRICKFACE
1124,BRICKFACE
1125,BRICKFACE
1126,BRICKFACE
1127,BRICKFACE
1128,BRICKFACE
1129,BRICKFACE
1130,BRICKFACE
1131,BRICKFACE
1132,BRICKFACE
1133,BRICKFACE
1134,BRICKFACE
1135,BRICKFACE
1136,BRICKFACE
1137,BRICKFACE
1138,BRICKFACE
1139,BRICKFACE
1140,BRICKFACE
1141,BRICKFACE
1142,BRICKFACE
1143,BRICKFACE
1144,BRICKFACE
1145,BRICKFACE
1146,BRICKFACE
1147,BRICKFACE
1148,BRICKFACE
1149,BRICKFACE
1150,BRICKFACE
1151,BRICKFACE
1152,BRICKFACE
1153,BRICKFACE
1154,BRICKFACE
1155,BRICKFACE
1156,BRICKFACE
1157,BRICKFACE
1158,BRICKFACE
1159,BRICKFACE
1160,BRICKFACE
1161,BRICKFACE
1162,BRICKFACE
1163,BRICKFACE
1164,BRICKFACE
1165,BRICKFACE
1166,BRICKFACE
1167,BRICKFACE
1168,BRICKFACE
1169,BRICKFACE
1170,BRICKFACE
1171,BRICKFACE
1172,BRICKFACE
1173,BRICKFACE
1174,BRICKFACE
1175,BRICKFACE
1176,BRICKFACE
1177,BRICKFACE
1178,BRICKFACE
1179,BRICKFACE
1180,BRICKFACE
1181,BRICKFACE
1182,BRICKFACE
1183,BRICKFACE
1184,BRICKFACE
1185,BRICKFACE
1186,BRICKFACE
1187,BRICKFACE
1188,BRICKFACE
1189,BRICKFACE
1190,BRICKFACE
1191,BRICKFACE
1192,BRICKFACE
1193,BRICKFACE
1194,BRICKFACE
1195,BRICKFACE
1196,BRICKFACE
1197,BRICKFACE
1198,BRICKFACE
1199,BRICKFACE
1200,BRICKFACE
1201,BRICKFACE
1202,BRICKFACE
1203,BRICKFACE
1204,BRICKFACE
1205,BRICKFACE
1206,BRICKFACE
1207,BRICKFACE
1208,BRICKFACE
1209,BRICKFACE
1210,BRICKFACE
1211,BRICKFACE
1212,BRICKFACE
1213,BRICKFACE
1214,BRICKFACE
1215,BRICKFACE
1216,BRICKFACE
1217,BRICKFACE
1218,BRICKFACE
1219,BRICKFACE
1220,BRICKFACE
1221,BRICKFACE
1222,BRICKFACE
1223,BRICKFACE
1224,BRICKFACE
1225,BRICKFACE
1226,BRICKFACE
1227,BRICKFACE
1228,BRICKFACE
1229,BRICKFACE
1230,BRICKFACE
1231,BRICKFACE
1232,BRICKFACE
1233,BRICKFACE
1234,BRICKFACE
1235,BRICKFACE
1236,BRICKFACE
1237,BRICKFACE
1238,BRICKFACE
1239,BRICKFACE
1240,BRICKFACE
1241,FOLIAGE
1242,FOLIAGE
1243,FOLIAGE
1244,FOLIAGE
1245,FOLIAGE
1246,FOLIAGE
1247,FOLIAGE
1248,FOLIAGE
1249,FOLIAGE
1250,FOLIAGE
1251,FOLIAGE
1252,FOLIAGE
1253,FOLIAGE
1254,FOLIAGE
1255,FOLIAGE
1256,FOLIAGE
1257,FOLIAGE
1258,FOLIAGE
1259,FOLIAGE
1260,FOLIAGE
1261,FOLIAGE
1262,FOLIAGE
1263,FOLIAGE
1264,FOLIAGE
1265,FOLIAGE
1266,FOLIAGE
1267,FOLIAGE
1268,FOLIAGE
1269,FOLIAGE
1270,FOLIAGE
1271,FOLIAGE
1272,FOLIAGE
1273,FOLIAGE
1274,FOLIAGE
1275,FOLIAGE
1276,FOLIAGE
1277,FOLIAGE
1278,FOLIAGE
1279,FOLIAGE
1280,FOLIAGE
1281,FOLIAGE
1282,FOLIAGE
1283,FOLIAGE
1284,FOLIAGE
1285,FOLIAGE
1286,FOLIAGE
1287,FOLIAGE
1288,FOLIAGE
1289,FOLIAGE
1290,FOLIAGE
1291,SKY
1292,SKY
1293,SKY
1294,SKY
1295,SKY
1296,SKY
1297,SKY
1298,SKY
1299,SKY
1300,SKY
1301,SKY
1302,SKY
1303,SKY
1304,SKY
1305,SKY
1306,SKY
1307,SKY
1308,SKY
1309,SKY
1310,SKY
1311,SKY
1312,SKY
1313,SKY
1314,SKY
1315,SKY
1316,SKY
1317,SKY
1318,SKY
1319,SKY
1320,SKY
1321,SKY
1322,SKY
1323,SKY
1324,SKY
1325,SKY
1326,SKY
1327,SKY
1328,SKY
1329,SKY
1330,SKY
1331,SKY
1332,SKY
1333,SKY
1334,SKY
1335,GRASS
1336,GRASS
1337,GRASS
1338,GRASS
1339,GRASS
1340,GRASS
1341,GRASS
1342,GRASS
1343,GRASS
1344,GRASS
1345,GRASS
1346,GRASS
1347,GRASS
1348,GRASS
1349,GRASS
1350,GRASS
1351,GRASS
1352,GRASS
1353,GRASS
1354,GRASS
1355,GRASS
1356,GRASS
1357,GRASS
1358,GRASS
1359,GRASS
1360,GRASS
1361,GRASS
1362,GRASS
1363,GRASS
1364,GRASS
1365,GRASS
1366,GRASS
1367,GRASS
1368,GRASS
1369,GRASS
1370,GRASS
1371,GRASS
1372,GRASS
1373,GRASS
1374,GRASS
1375,GRASS
1376,GRASS
1377,GRASS
1378,GRASS
1379,WINDOW
1380,WINDOW
1381,WINDOW
1382,WINDOW
1383,WINDOW
1384,WINDOW
1385,WINDOW
1386,WINDOW
1387,WINDOW
1388,WINDOW
1389,WINDOW
1390,WINDOW
1391,WINDOW
1392,WINDOW
1393,WINDOW
1394,WINDOW
1395,WINDOW
1396,WINDOW
1397,WINDOW
1398,WINDOW
1399,WINDOW
1400,WINDOW
1401,WINDOW
1402,WINDOW
1403,WINDOW
1404,WINDOW
1405,WINDOW
1406,WINDOW
1407,CEMENT
1408,CEMENT
1409,CEMENT
1410,CEMENT
1411,CEMENT
1412,CEMENT
1413,CEMENT
1414,CEMENT
1415,CEMENT
1416,CEMENT
1417,CEMENT
1418,CEMENT
1419,CEMENT
1420,CEMENT
1421,CEMENT
1422,CEMENT
1423,CEMENT
1424,CEMENT
1425,CEMENT
1426,CEMENT
1427,CEMENT
1428,CEMENT
1429,CEMENT
1430,CEMENT
1431,CEMENT
1432,CEMENT
1433,CEMENT
1434,CEMENT
1435,CEMENT
1436,CEMENT
1437,CEMENT
1438,CEMENT
1439,FOLIAGE
1440,FOLIAGE
1441,FOLIAGE
1442,FOLIAGE
1443,FOLIAGE
1444,FOLIAGE
1445,FOLIAGE
1446,FOLIAGE
1447,FOLIAGE
1448,FOLIAGE
1449,FOLIAGE
1450,FOLIAGE
1451,FOLIAGE
1452,FOLIAGE
1453,FOLIAGE
1454,FOLIAGE
1455,FOLIAGE
1456,FOLIAGE
1457,FOLIAGE
1458,FOLIAGE
1459,FOLIAGE
1460,FOLIAGE
1461,FOLIAGE
1462,FOLIAGE
1463,FOLIAGE
1464,FOLIAGE
1465,FOLIAGE
1466,FOLIAGE
1467,FOLIAGE
1468,FOLIAGE
1469,FOLIAGE
1470,FOLIAGE
1471,FOLIAGE
1472,FOLIAGE
1473,FOLIAGE
1474,FOLIAGE
1475,FOLIAGE
1476,FOLIAGE
1477,FOLIAGE
1478,FOLIAGE
1479,FOLIAGE
1480,FOLIAGE
1481,FOLIAGE
1482,FOLIAGE
1483,FOLIAGE
1484,FOLIAGE
1485,FOLIAGE
1486,FOLIAGE
1487,FOLIAGE
1488,FOLIAGE
1489,FOLIAGE
1490,FOLIAGE
1491,FOLIAGE
1492,FOLIAGE
1493,FOLIAGE
1494,FOLIAGE
1495,FOLIAGE
1496,FOLIAGE
1497,FOLIAGE
1498,FOLIAGE
1499,FOLIAGE
1500,FOLIAGE
1501,FOLIAGE
1502,FOLIAGE
1503,FOLIAGE
1504,FOLIAGE
1505,FOLIAGE
1506,FOLIAGE
1507,FOLIAGE
1508,FOLIAGE
1509,FOLIAGE
1510,FOLIAGE
1511,FOLIAGE
1512,FOLIAGE
1513,FOLIAGE
1514,FOLIAGE
1515,FOLIAGE
1516,FOLIAGE
1517,FOLIAGE
1518,FOLIAGE
1519,FOLIAGE
1520,FOLIAGE
1521,FOLIAGE
1522,FOLIAGE
1523,FOLIAGE
1524,FOLIAGE
1525,FOLIAGE
1526,FOLIAGE
1527,FOLIAGE
1528,FOLIAGE
1529,FOLIAGE
1530,FOLIAGE
1531,FOLIAGE
1532,FOLIAGE
1533,FOLIAGE
1534,FOLIAGE
1535,FOLIAGE
1536,FOLIAGE
1537,FOLIAGE
1538,FOLIAGE
1539,FOLIAGE
1540,FOLIAGE
1541,FOLIAGE
1542,FOLIAGE
1543,FOLIAGE
1544,FOLIAGE
1545,FOLIAGE
1546,FOLIAGE
1547,FOLIAGE
1548,FOLIAGE
1549,FOLIAGE
1550,FOLIAGE
1551,FOLIAGE
1552,FOLIAGE
1553,FOLIAGE
1554,FOLIAGE
1555,FOLIAGE
1556,FOLIAGE
1557,FOLIAGE
1558,FOLIAGE
1559,FOLIAGE
1560,FOLIAGE
1561,FOLIAGE
1562,FOLIAGE
1563,FOLIAGE
1564,FOLIAGE
1565,FOLIAGE
1566,FOLIAGE
1567,FOLIAGE
1568,FOLIAGE
1569,FOLIAGE
1570,FOLIAGE
1571,FOLIAGE
1572,FOLIAGE
1573,FOLIAGE
1574,FOLIAGE
1575,FOLIAGE
1576,FOLIAGE
1577,FOLIAGE
1578,FOLIAGE
1579,FOLIAGE
1580,FOLIAGE
1581,FOLIAGE
1582,FOLIAGE
1583,FOLIAGE
1584,FOLIAGE
1585,FOLIAGE
1586,SKY
1587,SKY
1588,SKY
1589,SKY
1590,SKY
1591,SKY
1592,SKY
1593,SKY
1594,SKY
1595,SKY
1596,SKY
1597,SKY
1598,SKY
1599,SKY
1600,SKY
1601,SKY
1602,SKY
1603,SKY
1604,SKY
1605,SKY
1606,SKY
1607,SKY
1608,SKY
1609,SKY
1610,SKY
1611,SKY
1612,SKY
1613,SKY
1614,SKY
1615,SKY
1616,SKY
1617,SKY
1618,SKY
1619,SKY
1620,SKY
1621,SKY
1622,SKY
1623,SKY
1624,SKY
1625,SKY
1626,SKY
1627,SKY
1628,SKY
1629,SKY
1630,SKY
1631,SKY
1632,SKY
1633,SKY
1634,SKY
1635,SKY
1636,SKY
1637,SKY
1638,SKY
1639,SKY
1640,SKY
1641,SKY
1642,SKY
1643,SKY
1644,GRASS
1645,GRASS
1646,GRASS
1647,GRASS
1648,GRASS
1649,GRASS
1650,GRASS
1651,GRASS
1652,GRASS
1653,GRASS
1654,GRASS
1655,GRASS
1656,GRASS
1657,GRASS
1658,GRASS
1659,GRASS
1660,GRASS
1661,GRASS
1662,GRASS
1663,GRASS
1664,GRASS
1665,GRASS
1666,GRASS
1667,GRASS
1668,GRASS
1669,GRASS
1670,GRASS
1671,GRASS
1672,GRASS
1673,GRASS
1674,GRASS
1675,GRASS
1676,GRASS
1677,GRASS
1678,GRASS
1679,GRASS
1680,GRASS
1681,GRASS
1682,GRASS
1683,GRASS
1684,GRASS
1685,GRASS
